University of Sheffield,city,TRUE,4.04,19,883,14.3,3.17,0.17,85
University of Cambridge,campus,TRUE,4.22,1,863,11,3.36,0.14,95
Imperial College London,city,TRUE,4.23,3,932,11.3,3.5,0.55,91
University of St Andrews,city,FALSE,4.27,4,1045,11.6,2.99,0.30,80
Bournemouth University,city,FALSE,4.08,61,816,16.5,2.72,0.15,90
University of Surrey,campus,FALSE,3.92,32,785,15.4,2.98,0.36,90
University of Chester,campus,FALSE,4,90,815,13.5,2.08,0.04,85
Aberystwyth University,campus,FALSE,4.16,30,816,16.4,2.84,0.12,87
University of Hull,campus,FALSE,3.81,49,721,16.5,2.83,0.10,76
Loughborough University,campus,FALSE,4.26,22,793,14.2,2.95,0.10,94
